"Temperature","Humidity","Rainfall"
"22.447971","96","0"
"21.667973","98","0"
"21.947971","94","0"
"22.017971","88","0"
"22.057972","87","0"
"22.077972","86","0"
"23.247972","98","1"
"23.447971","97","1"
"23.367971","97","1"
"23.267971","97","1"
"23.697971","94","1"
"23.967972","92","1"
"24.157972","90","1"
"24.337973","89","1"
"24.387972","88","1"
"24.267971","88","1"
"23.997972","89","1"
"22.997972","93","1"
"22.487972","92","1"
"22.227972","88","1"
"22.767971","82","0"
"22.857971","82","0"
"22.427973","84","0"
"21.987972","87","0"
"21.817972","88","0"
"21.767971","87","0"
"21.677973","86","0"
"21.577972","85","0"
"21.427973","86","0"
"21.277971","87","0"
"22.517971","86","0"
"23.987972","87","1"
"23.507973","88","1"
"23.697971","87","1"
"25.387972","80","0"
"28.277971","68","0"
"26.397972","77","1"
"25.007973","86","1"
"24.297972","89","1"
"23.797972","90","1"
"23.527971","92","1"
"23.157972","93","1"
"22.697971","91","1"
"22.857971","87","0"
"22.837973","88","0"
"22.827972","91","0"
"22.957972","96","0"
"22.347973","94","0"
"22.337973","93","0"
"22.527971","90","0"
"22.727972","88","0"
"22.787971","87","0"
"22.977972","87","0"
"22.797972","88","0"
"22.947971","89","0"
"24.267971","87","1"
"23.867971","87","1"
"24.027971","88","1"
"24.127972","87","1"
"24.147972","88","1"
"24.127972","88","1"
"24.047972","89","1"
"23.937971","91","1"
"23.867971","92","1"
"23.657972","94","1"
"23.807972","94","1"
"22.827972","96","0"
"22.647972","97","0"
"22.537971","97","0"
"22.437971","93","0"
"22.167973","92","0"
"21.817972","91","1"
"21.127972","92","1"
"21.147972","92","0"
"21.127972","89","0"
"21.207972","84","0"
"21.027971","81","0"
"21.097973","79","0"
"21.427973","77","0"
"22.977972","80","0"
"24.637972","74","0"
"25.877972","72","0"
"27.027971","70","0"
"27.607971","69","0"
"26.927973","72","0"
"26.147972","78","1"
"25.057972","83","1"
"24.947971","84","1"
"24.427973","86","1"
"24.237972","88","0"
"22.767971","93","0"
"22.297972","97","0"
"22.257973","98","0"
"22.477972","96","0"
"22.357971","98","0"
"22.077972","96","0"
"22.147972","98","0"
"22.257973","97","0"
"21.737972","94","0"
"21.607971","92","0"
"22.297972","90","1"
"22.407972","89","0"
"22.667973","88","0"
"24.297972","86","0"
"25.157972","83","1"
"25.877972","85","1"
"25.407972","84","1"
"25.617971","83","0"
"24.857971","85","1"
"25.687971","83","1"
"24.167973","90","1"
"23.717972","91","1"
"23.557972","90","1"
"23.707972","90","1"
"22.827972","92","0"
"22.797972","92","0"
"22.897972","91","0"
"22.957972","90","0"
"23.327972","88","0"
"22.827972","91","0"
"22.967972","89","1"
"23.487972","86","1"
"23.217972","87","1"
"22.607971","91","0"
"22.427973","93","0"
"22.267971","95","0"
"21.967972","95","0"
"23.827972","89","0"
"25.027971","81","1"
"26.407972","79","1"
"25.517971","82","1"
"25.387972","83","1"
"25.287971","83","1"
"25.407972","80","1"
"26.747972","79","1"
"25.087973","85","0"
"24.067972","88","1"
"23.257973","90","1"
"22.417973","92","0"
"22.367971","92","0"
"22.647972","92","0"
"22.897972","92","0"
"22.667973","93","0"
"22.117971","93","0"
"22.037971","90","0"
"22.007973","89","0"
"22.167973","90","0"
"22.357971","89","0"
"22.657972","88","0"
"22.617971","88","0"
"22.797972","87","0"
"23.987972","84","0"
"25.677973","77","0"
"26.967972","71","0"
"27.367971","70","0"
"26.857971","73","1"
"26.667973","73","0"
"26.327972","75","0"
"25.427973","79","1"
"24.857971","84","1"
"23.897972","88","1"
"23.647972","89","1"
"22.497972","93","0"
"22.327972","94","0"
"22.307972","93","0"
"22.517971","91","0"
"22.457972","91","0"
"22.427973","90","0"
"22.837973","87","0"
"23.127972","84","0"
"23.407972","82","0"
"23.187971","83","0"
"22.747972","85","0"
"22.657972","86","0"
"22.477972","87","0"
"24.137972","86","0"
"24.437971","85","1"
"24.147972","89","1"
"24.197971","89","1"
"24.257973","87","1"
"24.847973","85","1"
"25.957972","81","0"
"25.267971","82","0"
"24.497972","85","0"
"23.917973","87","0"
"23.687971","88","0"
"23.137972","92","0"
"22.227972","97","0"
"21.807972","99","0"
"21.757973","99","0"
"21.707972","99","0"
